title,description,genres
Back to Q82,"Eager to rejoin her divorced parents, an inventor's daughter drives his time-traveling car back to 1982. But a secret crush accidentally follows.","['scifi', 'action', 'comedy']"
Ladies First,"An inspirational survival story of Deepika Kumari who, as a girl born on the roadside to abject poverty in rural India, went in search of food, stumbled upon archery, and within 4 years became the Number One archer in the World.","['documentation', 'comedy', 'romance']"
Voulez-vous rire avec moi ce soir?,French humorist Yacine Belhousse tours the world to explore how stand-up comedians make audiences laugh across cultures.,"['documentation', 'european']"
Recovery Boys,"In the heart of America's opioid epidemic, four men try to reinvent their lives and mend their broken relationships after years of drug abuse.",['documentation']
King of Boys,"The story of Alhaja Eniola Salami, a businesswoman and philanthropist with a checkered past and a promising political future. As her political ambitions see her outgrowing the underworld connections responsible for her considerable wealth, she's drawn into a power struggle that threatens everything she holds dear.","['drama', 'crime']"
Little Miss Sumo,"In an ancient sport traditionally reserved for men, 20-year-old female sumo prodigy Hiyori attempts to revolutionize Japan’s national pastime.",['documentation']
Late Life: The Chien-Ming Wang Story,"The first and only Taiwanese player for the New York Yankees, Chien-Ming Wang held many titles: American League Wins Leader, World Series Champion, Olympian, Time 100 Most Influential, and The Pride of Taiwan. He had it all - until a 2008 injury forever altered the course of his career. Late Life: The Chien-Ming Wang Story - named after the late sinking action on his signature pitch - follows the rise and fall of the international icon as he fights his way back into the Major Leagues through endless rehab programs and lengthy stints away from home, carrying the weight of the world on his battered shoulder. A poignant and intimate account of Wang’s steadfast quest, Late Life tells the story of a man who is unwilling to give up and unable to let go.","['documentation', 'sport']"
A 3 Minute Hug,"As daylight breaks between the border cities of El Paso, Texas, and Juarez, Mexico, undocumented migrants and their relatives, divided by a wall, prepare to participate in an activist event. For three minutes, they’ll embrace in no man’s land for the briefest and sweetest of reunions.",['documentation']
Son Of Adam,"To escape conviction on criminal charges, a businessman agrees to aid a risky police mission, but his motives soon turn suspicious.","['drama', 'thriller']"
What Did I Mess,"The romp revolves around a dinner party hosted by the young and vicacious Nayla to introduce Fares, the love of her life, to Silvio, her new fiancé.","['comedy', 'romance']"
"Edmilson Filho: Notas, Comedy about Relationships","Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.",['comedy']
Seven Sundays,"The Bonifacio siblings reunite when they find out their father is diagnosed with cancer. In the process, they have to deal with unresolved issues among themselves before it's too late.","['drama', 'comedy']"
Pandigai,"A low-level hotel worker gets involved in a street fighting racket on the advice of a compulsive gambler. When the duo realise they have been duped by the gangster controlling the racket, they decided to rob him…","['romance', 'action', 'thriller']"
Brij Mohan Amar Rahe!,Faking his death to escape the realities of his uneventful life worked out well for Brij Mohan -- until he was sentenced to death for his own murder.,"['comedy', 'drama', 'crime']"
Pahuna: The Little Visitors,Three Nepalese children rely on each other for survival after they become separated from their parents while entering India.,['drama']
Adhugo,"Bunty, the little pink piglet is the apple of Chanti’s (Sathwik) eye. But what happens when this innocent little creature is embroiled with people who each have their own agenda to seek?",['drama']
Luciano Mellera: Infantiloide,Argentina's Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.,"['comedy', 'drama', 'crime']"
Coco y Raulito: Carrusel de ternura,"A study in contrasts, comedy partners and good friends Coco Celis and Raúl Meneses alternate separate stand-up sets for double the laughs.",['comedy']
Jindua,An existing relationship is threatened when a new girl catches a man's eye.,"['romance', 'family']"
A Witches' Ball,"Every year the Witching World gathers to celebrate the newly inducted witches into their world. Beatrix (12) is eager to become part of this world, but when her pending magical status is jeopardized she needs the help of her furry best friend Muggs (voiced by Joey Fatone) to solve some magical riddles before the big event. Will Beatrix sink or soar on the night of the Witches' Ball?","['fantasy', 'comedy', 'family']"
HiGH&LOW The Movie 3: Final Mission,"In order to conceal past corruption by the government, the Kyuryu group proceeds on a plan to destroy a street and build a casino. To stop the Kyuryu group, members of SWORD begin to move.","['drama', 'action']"
Eve's Apple,Interviews with global policymakers and girls in Gambia and Kenya detail the horrors of female genital mutilation and the growing efforts to end it.,"['documentation', 'european']"
Ana e Vitória,"Two girls have a chance encounter and instantly befriend. While trying to find themselves, they decide to pursue music together.","['romance', 'comedy', 'music']"
Frat Star,"""Frat Star"" explores the alluring, superficial, manipulative, and dark world of Ivy League fraternity culture. An insecure, poor, and broken-hearted Nick enters freshman year with no interest in fraternities. This all changes when his old money roommate Billy convinces him to pledge.","['drama', 'comedy']"
King of Peking,"When home entertainment enters the market in 90s Beijing, a former projectionist ropes his young son into starting their own pirate movie company, but easy money comes with its own price tag.","['drama', 'comedy']"
Secrets in the Hot Spring,"Xiaogin transferred to the third school during his fifth year at high school. During the winter vacation, his grandparents tricked him into returning to the hotel which was founded by his parents. Xiaogin’s classmates Little Princess and Lu Qun tagged along uninvited to escape being bullied at school.  While the three boys were temporarily staying at Xiaogin’s family hotel, they quickly found out that the hotel was in terrible shape and was also haunted. Xiaogin and his friends have developed an extremely close friendship while they are trying to step closer to the truth. Will they find out the secret that hides underneath the steaming hot springs?","['horror', 'comedy']"
Jonaki,"While Jonaki, an 80-year-old woman, searches for love in a strange world of decaying memories, her lover, now old and grey, returns to a world she is leaving behind.","['fantasy', 'drama', 'european']"
Into the Wind,Two siblings set sail as a crew on a yacht on the Aegean Sea. Circumstances soon change when a young documentary filmmaker comes aboard.,"['drama', 'european']"
Agustín Aristarán: Soy Rada,"Argentine comedian Agustín ""Radagast"" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine.",['comedy']
Joshua: Teenager vs. Superpower,"When the Chinese Communist Party backtracks on its promise of autonomy to Hong Kong, teenager Joshua Wong decides to save his city. Rallying thousands of kids to skip school and occupy the streets, Joshua becomes an unlikely leader in Hong Kong and one of China’s most notorious dissidents.",['documentation']
Al-Khawaga's Dilemma,The film revolves around a poor and ambitious young man who shares a love story with the daughter of a businessman with influence and money.,['drama']
Aditi Mittal: Things They Wouldn't Let Me Say,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings.",['comedy']
Fary Is the New Black,"Armed with sly wit, a fresh outlook and plenty of style, French comedy star Fary veers from dating to stereotypes and beyond in this exclusive special.","['comedy', 'european']"
Hadithi za Kumekucha: Fatuma,"A woman single-handedly shoulders her family's burdens, without reward or thanks, to farm her husband's land and keep the family fed and cared for. She finds herself training her daughter to walk the same path she does. No school, all work. Pests threaten her harvest and are exterminated using a loan from the local women's Co-op. But when Manyusi squanders her prized harvest and schemes to marry off their daughter, Fatuma must enlist the help of her fellow ladies at the co-op to make things right.",['drama']
DTC –Yukemuri Junjo Hen– from HiGH&LOW,"The movie is about the endless miracles during the motorcycle trip of Dan, Tettsu, and Chiharu, the Sannō Rengōkai trio (also known as DTC).","['comedy', 'drama']"
Alejandro Riaño: Especial de stand up,"Colombian comedian Alejandro Riaño discusses the perks of dating a she-wolf, styles of dancing, the quirks of Bogotá men and soccer game announcers.",['comedy']
My Ex & Whys,"Cali a blogger who owns the upcoming blog ""The Bakit List,"" and her ex Gio who will return to her life unexpectedly and surprisingly.","['romance', 'drama']"
Night of Knots,"A groom kissed in front of a wedding room with a bride who had met and fell in love for years. Both of them are on the same day of marriage, while others in the same building are married in different halls. Things do not go as expected, of course. The two weddings enter each other, the secrets emerge.",['comedy']
Bonboné,A Palestinian couple resorts to an unusual way to conceive as the husband is detained in an Israeli jail where visits are restricted.,"['comedy', 'drama']"
Hedefim Sensin,A meatball seller gets into trouble so flees Istanbul to find a new life on a beautiful island.,['comedy']
Catching Feelings,"Set in a chic and middle class Johannesburg, a jaded academic and his journalist wife have their lives turned upside down when a celebrated and hedonistic older writer unexpectedly moves into their home.","['romance', 'comedy', 'drama']"
Sei,A wannabe actor lands himself in trouble when he disguises as an ambulance driver to help his bed-ridden father,"['drama', 'romance', 'thriller', 'action', 'crime']"
Pup Star: World Tour,"PUP STAR is back, with an all-new movie that takes the popular singing dogs on trip around the world, where Tiny and friends find fantastic new songs and meet exciting new canine singers that prove music really is the universal language.","['music', 'comedy', 'family']"
A Man for The Weekend,A career-focused woman convinces a colleague to pose as her boyfriend for a family visit -- and must face a meddling mom and some unexpected feelings.,"['romance', 'comedy']"
For the Broken Hearted,It has three different stories about heartbreak and happy endings.,['drama']
ReMastered: Who Killed Jam Master Jay?,Run-D.M.C. DJ Jam Master Jay made a huge impact in music and his community. But friends and family still seek closure years after his unsolved murder.,"['music', 'documentation']"
Motu Patlu in Dragon World,Motu and friends go for an adventure filled journey to the mystical land of the dragons; where the peaceful green dragons live in fear of the fire breathing black dragons. Motu decides to train the peaceful dragons to fight.,"['comedy', 'animation']"
HiGH&LOW The Movie 2: End of Sky,"Members of SWORD win against Wangan Rengogun, which is led by Kohaku (Akira). The city becomes peaceful again.  Nevertheless, the most brutal gangs, Doubt and Prison Gang, appear. They try to dominate the area controlled by SWORD.",['action']
Thug Life,A get-rich-quick scheme goes awry when a group of friends stumbles onto a dangerous conspiracy and wind up getting mistaken for the bad guys.,"['comedy', 'drama']"
Beat Bugs: All Together Now,"After winning a local talent show, the Beat Bugs journey to compete on ""The Bug Factor,"" a televised singing contest held in faraway Rocket Ship Park.",['animation']
Doob,"As a noted filmmaker’s infidelity becomes a media firestorm, his fractured family privately navigates the fallout of his actions for years to come.",['drama']
Three Words to Forever,Three generations of a family get together for the 25th anniversary of Rick and Cristy while their daughter Tin appears clueless that her parents no longer sleep on the same bed.,"['drama', 'family', 'comedy', 'romance']"
Table Manners,"Family, food and love. Life's three courses made easy.","['comedy', 'drama']"
First Love,"In what appears to be a serendipitous encounter upon saving the life of a stranger, the calculated and reserved businessman Nick meets the impulsive and optimistic photographer Ali, who believes in destiny and carpe diem, or seizing the day. Nick, who seeks closure for his past mistakes, is drawn towards Ali's spirit and vigor. Despite living with a congenital heart disease and being on the wait-list for a heart transplant, Ali continues to be hopeful about her future. Ali challenges Nick to seize every moment of his life before it's too late. Meanwhile, Nick finds a way to give Ali a new lease on life - even if it means risking one's life and their love for each other.","['drama', 'romance']"
Super Monsters Save Halloween,"It's Halloween in Pitchfork Pines, but the neighbors don't seem to be in the mood. Can the Super Monsters save their favorite holiday?","['animation', 'family']"
Love You to the Stars and Back,"A girl named Mika decides to go on a road trip to look for aliens. During her trip, she accidentally bumps into Caloy whom she gives a free ride to until he reaches his destination. Mika then finds out that Caloy has cancer but despite it, he has learned to accept his fate. Both embark on a journey filled with adventures and misadventures not knowing they would fall in love with each other along the way.","['drama', 'romance', 'comedy']"
Na stojáka v kině,Members of the comedy group Na Stojáka take the stage and the mic by storm for a special night of stand-up comedy.,['comedy']
Motu Patlu: Mission Moon,"Motu, Patlu, Ghasitaram and Jhatka are shocked when the Earth starts trembling due to the moon losing its shape and light. The king then orders his citizens to fight the destroyers of the moon.","['animation', 'comedy']"
Music Teacher,"Despite his ambitions to make it big, Beni is still stuck in the hills, bitter and hurt, struggling to make ends meet by teaching music and singing in clubs. Jyotsna, his estranged student and now a Bollywood singer, left the hills 8 years ago. The town is abuzz with the news of Jyotsna's return to perform at a music concert. Beni has to come to terms with the pains of the past and the delusions of the present to deal with both, Jyotsna's presence in the hills and in his life.","['romance', 'drama', 'music']"
Daniel Sosa: Sosafado,His limitless imagination and effortless transformations add up to a night of unpredictable character-driven comedy.,['comedy']
B. A. Pass 2,"B. A. Pass 2 is the story of a young girl, who, in order to achieve her goals and to avoid marriage, makes a few wrong decisions and adopts ill habits that eventually ruin her life.",['drama']
DreamWorks Home: For the Holidays,"Oh takes it upon himself to introduce Christmas joy to his fellow Boovs. Unfortunately, his well-meaning mission nearly destroys the city.","['scifi', 'fantasy', 'animation', 'comedy', 'family']"
The Royal Hibiscus Hotel,A disillusioned London chef visits Nigeria and struggles with her matchmaking mother and restoring the family's rundown hotel. She's heartbroken when she discovers the man she loves is buying it.,"['comedy', 'romance']"
Pinky Memsaab,"The lives of a gullible maid; a beautiful socialite; an ambitious investment banker and a happy go lucky chauffeur are entwined together in Dubai, in this bitter-sweet tale of self discovery.","['drama', 'family']"
Crossroads: One Two Jaga,"In the outskirts and back-alleys of Kuala Lumpur, several individuals with money problems struggle to get their lives straight, find their paths unexpectedly intersecting - with fatal results.","['crime', 'drama']"
Project Papa,"When a busy entrepreneur pauses her career to spend time with her aging father, both learn valuable lessons on happiness, love and living in the moment.",['drama']
Alan Saldaña: mi vida de pobre,Mexican comic Alan Saldaña has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.,['comedy']
Mama's Boy,"A comedy about  a gang leader ( Chico ) who gets into a fight and  is seriously injured, after which he is transferred to the hospital in a critical condition where he needs a heart transplant. At the same time, the mother of another young man ( Hesham Maged )  dies and doctors resort to transferring her heart to the  gang leader to save his life, but he starts acting in a motherly way towards the young man.",['comedy']
Natalia Valdebenito: El especial,"A Chilean comedian fuses activism with irreverence for a stand-up set filled with jokes about misogyny, reproductive rights and respecting women.",['comedy']
Dilan 1990,"At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea.","['drama', 'romance']"
Love and Shukla,"A sexually inexperienced rickshaw driver struggles to build intimacy with his shy new wife in their tiny, overcrowded quarters.","['romance', 'comedy', 'drama']"
Mau Nieto: viviendo sobrio… desde el bar,"Performing at a bar, Mexican stand-up comedian Mau Nieto dishes on his modest upbringing, his failed relationships and his attempts to stay sober.",['comedy']
Mrs. Miracle Animals: An Squirrel's Princess Bride,"Set against the backdrop of the mystical Northern Lights, Scout Elf Newsey investigates how Santa travels the world at night.","['comedy', 'fantasy', 'animation', 'family']"
Alexis de Anda: Mea Culpa,"Stand-up comedian Alexis de Anda shares thoughts on gynecologists, drugs, and sex.",['comedy']
My Travel Buddy 2,The sequel to Yol Arkadasim from 2017. Onur and Seref have become both housemates and colleagues within a year. Seref is not successful in managing the song career of Onur.,"['family', 'comedy']"
Ghost Hunting,A set-up for an experiment in an empty room. Former inmates reconstruct an Israeli secret service interrogation centre. These Palestinian men use role play to come to terms with their memories and the humiliation they have experienced.,"['documentation', 'european']"
Lara and the Beat,"Lara and the Beat is a coming of age movie about the young and beautiful Giwa sisters caught in the center of a financial scandal with their late parents' Media Empire. The sisters are forced out of their privileged bubble, and must learn to build their own future - through music and enterprise - to salvage their family's Legacy.","['drama', 'music', 'romance']"
Carlos Ballarta: furia ñera,Mexican comic Carlos Ballarta mocks himself and points out the absurdities of parenthood and how he uses his wife's pregnancies to avoid commitments.,['comedy']
Marco Luque - We are together,"Eclectic character comedian Marco Luque plays himself in this stand-up special about relationships, regional differences and his own love of movies.",['comedy']
Felipe Neto: My Life Makes No Sense,YouTube sensation Felipe Neto brings the stories from his autobiographical book 'Não Faz Sentido!' to the stage in this comedy special.,"['comedy', 'documentation']"
Yoo Byung Jae: Discomfort Zone,Daring comedian Yoo Byung-jae connects criticism he's received from the general public to some of the most touchy issues in current Korean society.,['comedy']
Blessed Benefit,"Imprisoned on an unfair charge of fraud, a mild-mannered Jordanian contractor discovers that prison has its own rhythms, rules, and economies — and he soon begins to carve out a position for himself in this place where fraud isn’t a crime so much as a way of life.","['drama', 'comedy', 'european']"
Salam - The First ****** Nobel Laureate,"""Salam"" is a feature length documentary about the Nobel prize winning Pakistani physicist, Abdus Salam. The film reveals the extraordinary life of the charismatic Abdus Salam, in all its color, vitality and tragedy. It is the story of a man who traversed two worlds with ease: one of science and religion, modernity and tradition, war and peace and obscurity and celebrity. When he won the Nobel prize in 1979, he became the very first Pakistani to achieve this distinction, and only the fourth from the subcontinent. Born in 1926 in a remote village in Punjab, British India, Salam was a child prodigy. He came from humble beginnings, growing up in a small brick house with a large family of eleven. While Salam's legacy looms large in the world of physics, he is largely forgotten in Pakistan because of his faith. Children do not read about him and he is still vilified and maligned by right wing clerics for being a ""Qadiani""-a derogatory term for someone belonging to the Ahmadiyya community. By telling this complex story of a man who due to extremism could not strengthen his people as he so deeply desired, the film draws attention to the state of affairs in the world today, where knowledge is sacrificed at the altar of ignorance and intolerance, depriving the coming generation of all that is precious.",['documentation']
Catch.er,When an ambitious career woman is found murdered on her wedding anniversary her husband becomes the prime suspect. However a police investigation unearths others in her life who may also have a strong motive.,"['crime', 'drama']"
Ricardo Quevedo: Hay gente así,"Droll comic Ricardo Quevedo hits Bogotá with a set that touches on embarrassing misunderstandings, sex talk, the thrill of being scared and more.",['comedy']
Shubh Aarambh,"In the midst of her wedding, a young girl tries to save a 28 year old love marriage, of her future in-laws, which is falling apart.","['comedy', 'drama', 'family']"
A Drowning Man,"Alone and far from home, The Kid makes his way through a strange city looking for the means to get through his day. Surrounded by predators he is forced to make compromises merely to survive, his life of exile grows one day longer.",['drama']
Mr. Chandramouli,"Raghav, a professional boxer, finds himself in a fix when an unexpected turn of events gets him tangled in a battle between his passion, family and the love of his life.","['romance', 'comedy', 'sport']"
Posesif,A student diver risks her scholastic future and relationship with her father when she dates a moody transfer student consumed by their romance.,"['drama', 'comedy', 'romance']"
Until Midnight,"When Salem, A newly wed man returns home, He finds an unexpected visitor with sinister intentions.","['thriller', 'drama']"
"I, Potro",Former Club de Cuervos player Potro returns home to Argentina to crash the wedding of his famous soccer-star brother and confront his estranged family.,"['comedy', 'sport']"
Fakkah Fuzz: Almost Banned,Stand-up comic Fakkah Fuzz mines cross-cultural humor from the experience of growing up as an outspoken Malay man in Singapore.,['comedy']
Arango y Sanint: Ríase el show,"Colombian stand-up comedians Antonio Sanint and Julián Arango impersonate an Argentine visitor and a cabbie, and a pair of dirty old men at the opera.",['comedy']
Jani Dueñas: Grandes fracasos de ayer y hoy,"Radio broadcaster, actress and comedian Jani Dueñas brings her acid sense of humor to this stand-up special as she pours out her feelings on issues that are all too universal, from aging to dieting to sex.",['comedy']
Kartini: Princess of Java,A woman of nobility battles patriarchal norms in order to improve educational access for women in early 1900s Indonesian society.,"['drama', 'family', 'history', 'european']"
Adel Karam: Live from Beirut,Which part of a sheep is tastiest? What's so funny about funerals? A Lebanese comic answers your burning questions!,['comedy']
Ayana,An ambitious software entrepreneur puts everything he has in line to perceive his dreams.,"['drama', 'documentation']"
Nathicharami,"A widow struggles with the dilemma of her own growing sexual needs, and her desire to remain faithful to the memory of her late husband.",['drama']
Facing Mecca,Pensioner Roli comes to Fareed's assistance when the Syrian refugee is faced with the burial of his Muslim wife. Together they stumble into a bewildering forest of Swiss bureaucracy to which Roli finds beautifully simple answer.,['drama']
Next Enti?,"Tammy ‘hates boys’ and will only settle for the kind of standards her father sets for her; both with the way he is and the 'knowledge' he imparts her with. Sanju is one of the men she dates, a man-child who refuses to grow up. But when both part ways on such uncertain terms, what brings them together again?","['comedy', 'drama', 'romance']"
Hantu Kak Limah,"Kak Limah is discovered dead by villager. Since then, her ghost has been spotted around Kampung Pisang, making the villagers feel restless. Enter Encik Solihin, who tries to help by shooing her ghost away from the village. Husin, Encik Solihin and other villagers trying to overcome this problem. However, the tragedy behind Kak Limah's death has yet to be unveiled.","['horror', 'comedy']"
Todd Glass: Act Happy,Try to keep up as comedian Todd Glass delivers rapid-fire stand-up that bounces from his heart attack to his coming out to how to eat a Kit Kat.,['comedy']
Fernando Sanjiao: Hombre,Argentine actor and comedian Fernando Sanjiao uses humor and impersonations to explore the concepts of masculinity and fatherhood in modern times.,['comedy']
Yoo Byung Jae: Too Much Information,"""Saturday Night Live Korea"" writer-turned-comedian Yoo Byung-jae lays bare his childhood memories and philosophy on sex in his first stand-up venture.",['comedy']
Mawlana,"A seemingly traditional journey of a young sheikh in a governmental mosque who moves from leading prayers to becoming a TV celebrity issuing ""fatwas"" that are accepted by millions who have become fans of his as a result of his courage and his attempts to deviate from the usual religious rhetoric in a society heavily influenced by fundamentalism. From Behind the scenes that exposes religion and authority struggle - Mawlana is a movie that defy boundaries.","['thriller', 'drama']"
Elf Pets: Santa's St. Bernards Save Christmas,"What happens when an entire town forgets the true spirit of the Christmas season? It’s up to Santa and a delightful cast of North Pole characters to help them remember! In this festive Elf Pets® animated special, Santa discovers there is not enough Christmas spirit for him to make Christmas magical. Thankfully, The Elf on the Shelf® Scout Elves, Santa’s special Elf Pets® St. Bernard pups and a big-hearted family join forces to help others remember the true meaning of Christmas and ensure another successful holiday season for Santa!","['animation', 'family', 'comedy', 'fantasy']"
Potato Potahto,"A divorced couple who decide to share equal space in their ex-matrimonial home soon realize that the ingenious idea is easier said than done. Bent on flexing their egos and scoring points, the two implore various hilarious tactics that soon inflames emotions and turns an already complicated situation into a roller coaster ride.",['comedy']
Harith Iskander: I Told You So,"Malaysian stand-up comedy icon Harith Iskander takes the stage in Kuala Lumpur to talk about Singapore, a past girlfriend, and Rick Astley.",['comedy']
Zoé: Panoramas,A unique and introspective look inside one of Latin America's biggest rock bands: Zoé. The film takes you on a contemplative and audiovisual journey through one of the bands decisive years.,"['documentation', 'music']"
La Leyenda del Diamante,"When a gun-toting rebel tries to rescue her kidnapped sister, she finds herself up against a widely feared desperado and a cursed guardian of treasure.","['action', 'fantasy', 'horror', 'western', 'family', 'scifi']"
Santo cachón,"Antonio tries to show his friend Carlos that his wife cheats on him. As he tries to make his friends see the truth, a number of different people and funny situations come up.",['comedy']
Bahasha,"Bahasha is the story of Kitasa, an elected public official who betrays his family, friends and community when he takes an easy bribe. He learns the hard way and must now find the road to redemption.",['drama']
Enissa Amani: Ehrenwort,"Live from Hamburg, Iranian-German comedian Enissa Amani shares her take on German engineering, tax deductions and online fan-mail etiquette.","['comedy', 'european']"
Puriyaatha Puthir,"Kathir, a music director, starts seeing Meera, who teaches music. He starts receiving compromising videos of Meera, and desperately tries to find out the person wrecking their lives, but will it be too late?",['thriller']
Simplemente Manu NNa,Eclectic stand-up comic Manu NNa relays everyday tales about the struggles of being gay in Mexico and shares his love of telenovelas and mezcal.,['comedy']
Babamın Ceketi,"Ferhat and Aslihan, who have been together for some time, want to crown their relationship with marriage. But Ferhat's being unemployed is a major obstacle to their marriage. In the meantime, Aslihan father's suffers heart attack makes the situation more complicated. Aslihan's father started to pressure his daughter to marry after the health problem. Her father wants to see her daughter get married. But for this, Ferhat must find money for work and wedding. One of the greatest supporters of Ferhat is his father Ibrahim. Ferhat, who started to look for a job with the help of his friend Penguen Ersin, finds himself in a variety of adventures.",['comedy']
Silence Is Welcome,"During the holidays, Amanda, trapped in adolescence, looks for a way to escape from the annoying family trip. While travelling, she realizes how her relationship with her family is progressively crumbling and her parents marriage is slowly falling apart. She sees it as a punishment, but does not suspect that with the imminent escalation of violence in Mexico this could be their last vacation together.",['drama']
Grillo vs Grillo,"Outspoken comedian Beppe Grillo reminisces about his long career, including the triumphs and controversies that fueled his rise in Italian politics.","['comedy', 'european']"
Neevevaro,"As Kalyan, a blind chef and Vennela, who comes visiting him at his restaurant, fall in love and start making plans for their future, Vennela goes missing. Series of unexpected and shocking events follow.","['thriller', 'action', 'drama', 'romance']"
Sebastián Marcelo Wainraich,"Argentine comedian Sebastián Wainraich highlights the comedy in everyday life, from minibars to reasons why funerals are better than weddings.",['comedy']
Baby Mamas,The daily lives and loves of four professional women in South Africa who are all in different stages of their own real-life baby mama drama.,"['comedy', 'drama']"
Lovefucked,"A couple’s caustic, increasingly jarring interactions over a Mumbai evening strain their relationship until it threatens to break at its fraying seams.","['drama', 'romance']"
Fan of Amoory,"A story about a brave talented boy; his idol the famous football player ""Amoory"". The film follows the young boy as he goes through challenges and difficulties to achieve his dream.",['drama']
Satria Heroes: Revenge of the Darkness,"One year has passed since Satria Garuda Bima-X defeated VUDO and the earth is in peace again. Ray and Rena are rebuilding the Parallel World again. However, new evil forces attack and old enemies rise again to devastate the earth.","['scifi', 'action', 'drama', 'fantasy']"
Stretch Armstrong: The Breakout,"Villains are rampaging through Charter City and the Flex Fighters -- Jake, Ricardo and Nathan -- need your help to halt the chaos.",['animation']
Hajwala 2: Mysterious Mission,"In this sequel, a group of expert drivers skilled in drifting and high-speed racing is recruited to perform obscure tasks for a shadowy gang.","['action', 'comedy']"
Rise: Ini Kalilah,"The movie is comprised of six inter-related stories that tell of the frantic days leading up to the most important election ever in Malaysia. It follows the lives of everyday people, who come together for their common love: their country. Each of the stories told shows the meaning of being a true Malaysian.",['drama']
Echcharikkai,"Two men kidnap the daughter of a rich man, and the latter approaches a retired cop to track the missing woman.","['thriller', 'horror', 'crime', 'drama']"
Verses of Love 2,"When he became a lecturer in Eidenburgh, Fahri met Hulya, Keira, and Sabrina. The three try to make Fahri forget Aisha to continue his life.","['drama', 'romance']"
Kavin Jay : Everybody Calm Down!,"On a mission to defy stereotypes, Malaysian stand-up comedian Kavin Jay shares stories about growing up in the VHS era with his Singapore audience.","['comedy', 'documentation']"
Unexpectedly Yours,"Two former high school friends Patty and Cocoy find each other unexpectedly 30 years later, not only as organizers of their high school reunion, but also as new neighbors. Patty and her daughter Yanni's quiet lives then get an unexpected shake-up when love—in the form of Cocoy and his nephew Jason —comes knocking on their door.","['comedy', 'romance']"
Lilli,"Abducted and confined in a room by a gang of sadistic men, a pregnant woman tries to escape, against insurmountable odds.",['thriller']
Prince of Peoria: A Christmas Moose Miracle,"Teddy gets snowed in at a bowling alley, which may cause him to miss the Festival of Lights for the very first time. Fear not, though, because Emil ""insists the Christmas moose will save the day.","['comedy', 'family']"
Match,two brothers whose lives are torn apart by the murder of their father. Match follows the different paths taken by the brothers after the death and the consequences that come from their actions.,['drama']
Komola Rocket,A manifestation of lives of people coming from different classes and beliefs in a steamer as they set out for their journeys. Things start to get out of hand when the steamer gets stuck amidst the passage and deepest secrets and desires start to unfold.,['drama']
D.L. Hughley: Contrarian,"Comedian D.L. Hughley riffs on politics, ""Black Panther,"" his upbringing and more in a rapid-fire stand-up show at Philadelphia's Merriam Theater.",['comedy']
Panoptic,"Panoptic explores Lebanon's schizophrenia. Depicting a nation thriving for modernity while ignoring the vices preventing it from achieving its goal, director Rana Eid examines this paradox through sound, iconic monuments and secret hideouts.",['documentation']
Joe Mande's Award-Winning Comedy Special,"Stand-up comic Joe Mande aims for critical adulation with this special that covers dating shows, ""Shark Tank,"" Jewish summer camp and much more.","['comedy', 'documentation']"
Deliha 2,"Zeliha is back: Crazy and candid as ever, and she still gets herself into all sorts of trouble. Seeking love in the first film, Zeliha is now after a career in the sequel, as she dreams of becoming a cook and starts working in a luxury restaurant. Will Zeliha's dreams finally come true, or will the real world break her heart and leave her in disappointment? With heartwarming characters and an entertaining story by Gupse Özay, writer of the films Deliha and Görümce, Deliha 2 will once again leave audiences in laughter. The film also marks Özay's directorial debut.",['comedy']
Fabrizio Copano: solo pienso en mí,"Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.",['comedy']
Jen Kirkman: Just Keep Livin'?,"Incisive comic Jen Kirkman gets real about women's bodies, the value of alone time and an Italian private tour guide who may have been a ghost.",['comedy']
Wedy Atkalam,"A film Director named Masoud faces the negative changes that occurred in the Kuwaiti society, and tries to fight them through art.","['comedy', 'drama']"
Oga Bolaji,"Oga Bolaji is a story that is centered around the simple happy go lucky life of a 40-year-old retired musician ""Gold Ikponmosa"". His life takes a drastic turn when he crosses paths with a young girl. Perhaps it leads to the worst or best part of his life. Oga Bolaji showcases the resilient, ingenuity of the Nigerian spirit. The way we live, our pain, our limitations, yet we continue to strive, we continue to hope and we continue to dream.",['drama']
Si Doel the Movie,"Fourteen years after the woman he loved left him, a married man ventures to Amsterdam to find her but must decide where his heart lies.","['family', 'romance', 'drama', 'comedy']"
The Gentlemen,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","['crime', 'action', 'comedy']"
A Call to Spy,"In the beginning of WWII, with Britain becoming desperate, Churchill orders his new spy agency - SOE - to recruit and train women as spies.","['crime', 'drama', 'thriller', 'war', 'history']"
The Rental,Two couples rent a vacation home for what should be a celebratory weekend get-away.,"['drama', 'horror', 'thriller']"
